date2,QUOTA ALLOCATED, LOAD DRAWN (MW),LAOD SHEDDING (MW) (LOAD MANAGEMENT),TOTAL DEMAND (MW) 
8/24/2017,78376,79378,15538,94916
8/25/2017,77915,77983,8317,86300
8/26/2017,78146,73977,3468,77445
8/27/2017,77115,74785,2295,77080
8/28/2017,79971,79042,4926,83968
8/29/2017,80580,76591,4138,80729
8/30/2017,80254,71676,3742,75418
8/31/2017,79820,68146,3154,71300
9/1/2017,79788,56989,1661,58650
9/2/2017,79885,55603,901,56504
9/3/2017,80951,57443,786,58229
9/4/2017,80951,57443,786,58229
9/5/2017,79334,64110,1136,65246
9/6/2017,78213,63689,5113,68802
9/7/2017,78080,66383,1744,68127
9/8/2017,78085,73879,1286,75165
9/9/2017,77810,76222,1862,78084
9/10/2017,77638,71965,2382,74347
9/11/2017,74329,67974,5392,73366
9/12/2017,77216,76803,4494,81297
9/13/2017,79350,73476,6320,79796
9/14/2017,79371,71644,2642,74286
9/15/2017,79264,74317,2104,76421
9/16/2017,74003,71742,3807,75549
9/17/2017,71747,65956,1127,67083
9/18/2017,74150,72808,3826,76634
9/19/2017,72991,73714,7104,80818
9/20/2017,72805,73764,7826,81590
9/21/2017,72817,73169,7788,80957
9/22/2017,74606,74667,4941,79608
9/23/2017,76130,72559,1844,74403
9/24/2017,70885,66261,2766,69027
9/25/2017,73977,71071,5454,76525
9/26/2017,73799,70839,9711,80550
9/27/2017,72806,73151,6139,79290
9/28/2017,73478,73600,6395,79995
9/29/2017,74330,73313,4362,77675
9/30/2017,74379,66395,955,67350
10/1/2017,74413,56341,768,57109
10/2/2017,75685,66783,3517,70300
10/3/2017,73928,70627,4168,74795
10/4/2017,74363,70618,4699,75317
10/5/2017,74699,69676,5045,74721
10/6/2017,70295,68944,5230,74174
10/7/2017,67642,68291,5254,73545
10/8/2017,72958,65647,1052,66699
10/9/2017,74754,68588,4146,72734
10/10/2017,74930,70971,3083,74054
10/11/2017,74957,69947,3743,73690
10/12/2017,75235,69373,3561,72934
10/13/2017,76169,69533,1532,71065
10/14/2017,72985,66807,3115,69922
10/15/2017,66636,61751,1484,63235
10/16/2017,66853,62958,4465,67423
10/17/2017,61560,63361,4593,67954
10/18/2017,60358,62338,5737,68075
10/19/2017,59234,60539,6408,66947
10/20/2017,60512,61694,5377,67071
10/21/2017,58910,59699,4374,64073
10/22/2017,54479,54029,2220,56249
10/23/2017,57308,55671,3367,59038
10/24/2017,57682,55894,3181,59075
10/25/2017,57084,55250,1974,57224
10/26/2017,58766,53862,2448,56310
10/27/2017,60334,54300,1176,55476
10/28/2017,59555,51816,1305,53121
10/29/2017,57855,46054,899,46953
10/30/2017,57813,47675,2094,49769
10/31/2017,57331,47870,1955,49825
11/1/2017,55392,48006,1361,49367
11/2/2017,53204,44386,2830,47216
11/3/2017,36047,37344,9101,46445
11/4/2017,41697,41955,3895,45850
11/5/2017,36942,35243,3804,39047
11/6/2017,37456,33906,4352,38258
11/7/2017,42655,38063,3611,41674
11/8/2017,46188,40755,2160,42915
11/9/2017,46332,41628,2360,43988
11/10/2017,46531,41365,1241,42606
11/11/2017,46106,41327,1555,42882
11/12/2017,43602,37296,990,38286
11/13/2017,44968,39045,2429,41474
11/14/2017,45659,38439,4214,42653
11/15/2017,46342,41164,1813,42977
11/16/2017,46864,41680,2105,43785
11/17/2017,47260,42974,803,43777
11/18/2017,47479,42524,870,43394
11/19/2017,47495,37729,665,38394
11/20/2017,47474,41495,1266,42761
11/21/2017,47135,42862,1578,44440
11/22/2017,45610,43066,2086,45152
11/23/2017,37894,40911,5350,46261
11/24/2017,41426,43991,3487,47478
11/25/2017,43485,42991,3671,46662
11/26/2017,44259,40511,584,41095
11/27/2017,43291,40939,2398,43337
11/28/2017,44974,43464,2405,45869
11/29/2017,46218,44866,1780,46646
11/30/2017,47520,45824,1797,47621
12/1/2017,41990,38187,585,38772
12/2/2017,44608,42139,533,42672
12/3/2017,42191,40004,676,40680
12/4/2017,44769,42575,2103,44678
12/5/2017,45224,43160,2537,45697
12/6/2017,45849,43465,2699,46164
12/7/2017,46123,44142,2720,46862
12/8/2017,47659,44747,1810,46557
12/9/2017,46924,44321,1904,46225
12/10/2017,42772,40037,1640,41677
12/11/2017,39818,36230,5937,42167
12/12/2017,43031,41760,2944,44704
12/13/2017,47396,44058,2201,46259
12/14/2017,48130,44961,2173,47134
12/15/2017,47162,43918,2114,46032
12/16/2017,47913,45186,2072,47258
12/17/2017,43738,40702,1755,42457
12/18/2017,46277,43952,2050,46002
12/19/2017,47486,45330,2028,47358
12/20/2017,46680,43947,3337,47284
12/21/2017,47203,44968,2975,47943
12/22/2017,47846,45277,2453,47730
12/23/2017,47739,44998,2538,47536
12/24/2017,43983,39930,2272,42202
12/25/2017,43523,40858,540,41398
12/26/2017,44929,43110,2540,45650
12/27/2017,46626,44465,2720,47185
12/28/2017,46400,43741,3114,46855
12/29/2017,46610,44232,2826,47058
12/30/2017,46777,44034,2502,46536
12/31/2017,43263,38954,2462,41416
1/1/2018,45366,42445,2608,45053
1/2/2018,43702,42414,4183,46597
1/3/2018,43561,38408,5358,43766
1/4/2018,42572,39919,4970,44889
1/5/2018,47203,44584,2633,47217
1/6/2018,47299,44228,2683,46911
1/7/2018,44771,39062,2513,41575
1/8/2018,45204,42729,3278,46007
1/9/2018,46838,44123,3392,47515
1/10/2018,47460,44412,3304,47716
1/11/2018,47583,43311,3562,46873
1/12/2018,48410,44319,2637,46956
1/13/2018,47833,44065,2645,46710
1/14/2018,45283,38589,2628,41217
1/15/2018,45418,42004,3435,45439
1/16/2018,46820,44069,3351,47420
1/17/2018,46976,44082,3420,47502
1/18/2018,47045,44033,3589,47622
1/19/2018,47331,45183,2446,47629
1/20/2018,47162,44194,2925,47119
1/21/2018,45036,39646,2605,42251
1/22/2018,46618,42821,3021,45842
1/23/2018,45550,41827,5017,46844
1/24/2018,46286,43811,3628,47439
